tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0013232,66,F,1,0,1,9092,227,227,0,227
t0007941,64,M,1,0,1,9244,231,221,0,231
t0007455,75,F,1,0,1,17593,440,439,0,440
t0011322,57,F,1,0,1,9168,229,226,0,229
t0008119,90,M,1,0,1,21517,538,538,0,538
t0037816,59,F,1,0,1,9260,232,0,0,232
t0037815,66,M,1,0,1,5180,130,0,0,130
t0008233,70,F,1,0,1,9260,232,221,0,232
t0038027,58,M,1,0,1,9144,229,0,0,229
t0007527,86,M,1,0,1,9506,238,251,0,238
t0014254,60,F,1,0,1,200,5,50,0,50
t0008309,64,F,1,0,1,9236,231,232,0,231
t0014033,63,F,1,0,1,9260,232,225,0,232
t0016276,63,M,1,0,1,11912,298,285,0,298
t0007424,93,F,1,0,1,17132,428,391,0,428
t0008218,73,M,1,0,1,12164,304,299,0,304
t0011332,62,F,1,0,1,16441,411,50,0,411
t0012620,59,M,2,0,1,8156,204,65,0,204
t0014219,56,M,1,0,1,9020,226,219,0,226
t0034366,74,M,1,0,1,9464,237,237,0,237
t0010842,65,M,1,0,1,9260,232,225,0,232
