tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0008266,57,F,1,0,1,9536,239,0,0,239
t0013222,57,M,2,0,1,17508,438,346,0,438
t0011180,66,F,1,0,1,9164,229,226,0,229
t0007399,66,F,1,0,1,9020,226,219,0,226
t0012487,57,M,1,0,1,9164,229,226,0,229
t0024177,57,M,2,0,1,15188,380,451,0,380
t0023843,59,F,1,0,1,8996,225,144,0,225
t0017738,56,F,1,0,1,9164,229,226,0,229
t0007712,68,M,1,0,1,9260,232,232,0,232
t0007198,71,F,1,0,1,5176,129,126,0,129
t0008229,82,F,1,0,1,9236,231,227,0,231
t0016196,62,M,1,0,1,8768,219,215,0,219
t0014196,60,M,1,0,1,9020,226,219,0,226
t0007794,67,M,1,0,1,8804,220,210,0,220
t0015920,66,F,1,0,1,9556,239,226,0,239
t0007553,71,M,1,0,1,9092,227,225,0,227
t0015775,57,M,1,0,1,0,0,221,0,50
t0014840,67,M,1,0,1,9164,229,226,0,229
t0015825,58,F,1,0,1,11876,297,289,0,297
t0002435,71,F,1,0,1,9404,235,232,0,235
t0012559,57,F,1,0,1,9164,229,226,0,229
t0008296,65,M,1,0,1,10328,258,254,0,258
t0013302,57,F,1,0,1,8768,219,215,0,219
t0011352,63,M,1,0,1,9404,235,232,0,235
t0007144,64,M,1,0,1,9404,235,232,0,235
t0008325,64,F,1,0,1,9020,226,219,0,226
t0013255,62,M,1,0,1,16783,420,434,0,420
t0024109,58,M,1,0,1,6264,157,0,0,157
t0008070,78,F,1,0,1,9164,229,226,0,229
t0014695,66,M,2,0,1,16803,420,413,0,420
t0007617,70,M,1,0,1,11108,278,270,0,278
t0016594,70,M,1,0,0,15044,376,366,0,376
t0024117,64,F,1,0,1,16190,405,400,0,405
t0014586,81,F,1,0,1,8924,223,220,0,223
t0015774,57,F,2,0,1,9020,226,219,0,226
t0008319,65,F,1,0,1,9704,243,236,0,243
t0012241,69,M,1,0,1,9020,226,219,0,226
t0023764,55,F,1,0,1,5408,135,135,0,135
t0024248,61,M,1,0,1,8735,218,0,0,218
t0007844,65,F,1,0,1,11072,277,275,0,277
t0023758,63,M,1,0,1,9020,226,0,0,226
t0023961,57,M,1,0,1,9020,226,219,0,226
t0011350,70,M,1,0,1,15850,396,405,0,396
t0007894,74,F,1,0,1,9404,235,232,0,235
t0011354,90,F,1,0,1,19114,478,466,0,478
t0036987,53,M,1,0,1,9356,234,230,0,234
t0007624,64,F,1,0,1,19157,479,159,0,479
t0007478,68,F,1,0,1,12247,306,308,0,306
t0007156,84,F,1,0,1,10561,264,260,0,264
t0013942,69,M,1,0,1,16412,410,375,0,410
t0015451,68,F,1,0,1,15981,400,359,0,400
t0012320,64,F,1,0,1,9404,235,232,0,235
t0014994,56,M,1,0,1,9404,235,232,0,235
t0007798,63,F,1,0,1,9668,242,239,0,242
t0013332,63,M,1,0,1,14240,356,310,0,356
t0015710,56,M,1,0,1,0,0,50,0,50
t0008078,61,M,1,0,1,9404,235,232,0,235
t0012285,68,M,1,0,1,9164,229,219,0,229
t0008015,64,F,1,0,1,9740,244,236,0,244
t0017117,53,M,1,0,1,9164,229,228,0,229
t0010280,71,F,1,0,1,9400,235,225,0,235
t0008158,103,F,1,0,1,16461,412,404,0,412
t0007776,69,M,2,0,1,12080,302,302,0,302
t0030095,56,F,1,0,1,9020,226,0,0,226
t0016275,56,F,1,0,1,4190,105,221,0,105
t0010861,62,M,1,0,1,9164,229,221,0,229
t0014849,66,M,1,0,1,9164,229,226,0,229
t0007434,79,F,1,0,1,13494,338,315,0,338
t0008312,59,M,1,0,1,1200,30,50,0,50
t0012063,62,M,1,0,1,15644,391,385,0,391
t0023790,64,F,1,0,1,8860,221,0,0,221
t0007155,74,F,1,0,1,8084,202,193,0,202
t0014201,56,M,1,0,1,9164,229,226,0,229
t0011967,63,F,1,0,1,9404,235,225,0,235
t0007175,85,F,2,0,1,9260,232,225,0,232
t0008123,77,M,1,0,1,9392,235,227,0,235
t0014162,57,M,1,0,1,9020,226,201,0,226
t0023721,65,F,1,0,1,9164,229,219,0,229
t0015885,62,M,1,0,1,9399,235,219,0,235
t0007635,64,M,1,0,1,8450,211,203,0,211
t0014897,56,M,1,0,1,9524,238,234,0,238
t0012994,58,F,1,0,1,8912,223,215,0,223
t0000268,60,M,1,0,1,13184,330,318,0,330
t0011722,74,F,1,0,1,9164,229,226,0,229
t0007736,67,M,1,0,1,8791,220,226,0,220
t0034364,76,M,1,0,1,9260,232,0,0,232
t0011122,66,F,1,0,1,6766,169,165,0,169
t0013846,79,F,1,0,1,9164,229,232,0,229
t0012716,61,M,1,0,1,3000,75,50,0,75
t0008157,80,F,1,0,1,9477,237,232,0,237
t0013284,62,F,1,0,1,9236,231,226,0,231
t0007799,61,F,1,0,1,27320,683,665,0,683
