tid,age,sex,n_hh,n_dep,n_br,income,rent,n_total,n_late,name,late_duration,late_amount,prop
t0013343,59,M,1,0,1,12044,301,50,9,Sheridan,0,0,0.16673661198843737
t0008324,89,F,1,0,1,12441,311,50,12,Sheridan,2.5,236.5,0.21903586386199742
t0023728,57,M,1,0,1,13532,338,21,8,Sheridan,1,338,0.33391377101129244
t0015308,66,M,1,0,1,9404,235,62,36,Sheridan,2,305,0.5347248596934663
t0008261,62,M,1,0,1,9260,232,50,0,Sheridan,0,0,0.01970293358059767
t0016099,66,F,1,0,1,9260,232,46,26,Sheridan,7,271.535714285714,0.512651011698947
t0007226,64,F,1,0,1,9164,229,50,4,Sheridan,1,226,0.08226541934508509
t0011678,58,M,1,0,1,2494,62,54,10,Sheridan,2,51.5,0.17102064362238864
t0012528,62,F,1,0,1,9404,235,50,4,Sheridan,2.5,244.5,0.08226541934508509
t0007529,65,F,1,0,1,9020,226,50,4,Sheridan,1,218,0.08226541934508509
t0023896,71,F,1,0,1,11834,296,32,12,Sheridan,3.5,295.7,0.33408681909600346
t0007248,86,M,2,1,1,18032,451,52,6,Sheridan,1,438,0.11131734351280204
t0007998,86,M,1,0,1,9884,247,50,5,Sheridan,17,236,0.09879898086651369
t0013342,59,F,1,0,1,9260,232,50,17,Sheridan,0,0,0.308019422926166
t0011601,69,M,1,0,1,9404,235,51,5,Sheridan,11,228.5,0.09696167881822344
t0023661,53,M,1,0,1,9020,226,17,1,Sheridan,0,0,0.09135286620154123
t0024031,66,M,1,0,1,8996,225,31,0,Sheridan,0,0,0.030679480645372507
t0015831,58,M,1,0,1,8852,221,51,14,Sheridan,15,208,0.2496020946850913
t0007618,60,M,1,0,1,9020,226,50,11,Sheridan,5.5,197.166666666667,0.20149899503514637
t0011333,65,M,2,1,1,18328,458,63,41,Sheridan,5,1054.5,0.6022814114709848
t0016393,60,M,2,0,1,12536,314,59,23,Sheridan,2.5,313,0.35525096402874334
t0014683,60,M,1,0,1,12992,325,73,58,Sheridan,8,279.962962962963,0.747339234730694
t0012818,57,M,1,0,1,9020,226,72,27,Sheridan,2,222,0.34399495650571205
t0013331,55,M,1,0,1,9164,229,57,3,Sheridan,0,0,0.05827751003067427
t0007731,63,F,1,0,1,8768,219,50,21,Sheridan,4.5,231.5,0.3805391347369093
t0012996,64,M,1,0,1,9656,242,53,36,Sheridan,8,167.5,0.6245521646606046
t0013231,58,F,2,0,1,9404,235,50,24,Sheridan,11,215,0.43561975453547774
t0007928,61,F,1,0,1,11440,286,77,48,Sheridan,8,419.5,0.5808577667765144
t0023989,54,F,1,0,1,7920,198,21,1,Sheridan,0,0,0.07616335492698972
t0011244,66,M,1,0,1,10184,255,50,15,Sheridan,2.5,248,0.27218533459463473
t0014514,55,M,1,0,1,9212,230,50,4,Sheridan,2,220,0.08226541934508509
t0011673,60,M,1,0,1,9164,229,50,7,Sheridan,9.5,199.5,0.13245988416773902
t0008145,61,M,1,0,1,9404,235,50,30,Sheridan,4,138,0.5474931635051334
t0007710,62,F,1,0,1,9020,226,50,22,Sheridan,6,295.666666666667,0.3988354011125409
t0007429,72,M,1,0,1,9020,226,58,18,Sheridan,6,219,0.2825375662357753
t0014253,59,M,1,0,1,8090,202,50,1,Sheridan,0,0,0.03453082542290144
t0010060,59,M,1,0,1,9020,226,50,0,Sheridan,0,0,0.01970293358059767
t0014707,64,M,1,0,1,10317,258,52,5,Sheridan,2,254,0.09519148273722064
t0024034,63,M,1,0,1,9404,235,41,0,Sheridan,0,0,0.02372367829872339
t0008194,70,M,1,0,1,10580,265,57,13,Sheridan,17,256.5,0.2087134402643418
t0016017,73,M,1,0,1,9195,230,47,13,Sheridan,10.5,219.5,0.25108312638116853
t0013096,62,M,2,0,1,11755,294,50,0,Sheridan,0,0,0.01970293358059767
t0026758,60,M,1,0,1,9296,233,25,9,Sheridan,11,226.5,0.318537306032746
t0007793,63,F,1,0,1,14036,351,56,1,Sheridan,0,0,0.031022170787038672
t0008155,62,F,1,0,1,9404,235,50,0,Sheridan,0,0,0.01970293358059767
t0011136,60,F,1,0,1,9704,243,37,12,Sheridan,6.5,233,0.29151226716756784
t0013221,70,F,1,0,1,18971,474,50,0,Sheridan,0,0,0.01970293358059767
t0016613,61,M,1,0,1,8420,211,51,33,Sheridan,8,205.5,0.5926134064020674
t0007398,68,M,1,0,1,13356,334,50,10,Sheridan,19.5,319,0.184062958817958
t0013232,66,F,1,0,1,9092,227,26,0,Sheridan,0,0,0.035949052167094944
t0007941,64,M,1,0,1,9244,231,53,24,Sheridan,1.5,260.5,0.4116433652179766
t0007455,75,F,1,0,1,17593,440,50,3,Sheridan,9,30,0.06598731731564887
t0011322,57,F,1,0,1,9168,229,50,9,Sheridan,1,226,0.16673661198843737
t0008119,90,M,1,0,1,21517,538,51,15,Sheridan,1,500,0.2670620521061481
t0037816,59,F,1,0,1,9260,232,18,6,Sheridan,2,232,0.2944611762190143
t0037815,66,M,1,0,1,5180,130,18,1,Sheridan,0,0,0.08701459041913431
t0008233,70,F,1,0,1,9260,232,22,7,Sheridan,0,0,0.28322336564959405
t0038027,58,M,1,0,1,9144,229,12,0,Sheridan,0,0,0.06923337059747152
t0007527,86,M,1,0,1,9506,238,57,3,Sheridan,0,0,0.05827751003067427
t0014254,60,F,1,0,1,200,50,59,26,Sheridan,3,50,0.4022186753963709
t0008309,64,F,1,0,1,9236,231,54,10,Sheridan,2,232,0.17102064362238864
t0014033,63,F,1,0,1,9260,232,69,23,Sheridan,8,264.333333333333,0.3050045532420692
t0016276,63,M,1,0,1,11912,298,46,12,Sheridan,4,283,0.23717122861885814
t0007424,93,F,1,0,1,17132,428,54,2,Sheridan,0,0,0.046523585371574167
t0008218,73,M,1,0,1,12164,304,57,24,Sheridan,6,256.785714285714,0.3835222886116377
t0011332,62,F,1,0,1,16441,411,61,10,Sheridan,10,189.5,0.1521564786897653
t0012620,59,M,2,0,1,8156,204,50,3,Sheridan,0,0,0.06598731731564887
t0014219,56,M,1,0,1,9020,226,52,7,Sheridan,18,297.666666666667,0.12761157966481979
t0034366,74,M,1,0,1,9464,237,26,2,Sheridan,1,237,0.09147228098311184
t0010842,65,M,1,0,1,9260,232,50,22,Sheridan,12.5,198.7975,0.3988354011125409
t0013222,57,M,2,0,1,17508,438,50,9,Sheridan,1,302,0.16673661198843737
t0011180,66,F,1,0,1,9164,229,50,2,Sheridan,5,224,0.05003599760238572
t0007399,66,F,1,0,1,9020,226,50,9,Sheridan,4,244.333333333333,0.16673661198843737
t0012487,57,M,1,0,1,9164,229,50,6,Sheridan,1,226,0.11554131479003016
t0024177,57,M,2,0,1,15188,380,38,1,Sheridan,0,0,0.044624896043305634
t0023843,59,F,1,0,1,8996,225,20,8,Sheridan,17,132.666666666667,0.34878968693378737
t0017738,56,F,1,0,1,9164,229,20,7,Sheridan,0,0,0.30834612909194936
t0007712,68,M,1,0,1,9260,232,58,12,Sheridan,5.5,239,0.18999083301056693
t0007198,71,F,1,0,1,5176,129,50,6,Sheridan,0,0,0.11554131479003016
t0008229,82,F,1,0,1,9236,231,50,0,Sheridan,0,0,0.01970293358059767
t0016196,62,M,1,0,1,8768,219,52,19,Sheridan,20,240,0.331364798743149
t0014196,60,M,1,0,1,9020,226,50,5,Sheridan,10.5,234,0.09879898086651369
t0007794,67,M,1,0,1,8804,220,60,41,Sheridan,2,211,0.6322883028586037
t0015920,66,F,1,0,1,9556,239,53,13,Sheridan,15.5,223.833333333333,0.2238179862273623
t0007553,71,M,1,0,1,9092,227,50,4,Sheridan,1,225,0.08226541934508509
t0015775,57,M,1,0,1,0,50,53,11,Sheridan,0,0,0.19058486729697438
t0014840,67,M,1,0,1,9164,229,50,0,Sheridan,0,0,0.01970293358059767
t0015825,58,F,1,0,1,11876,297,54,27,Sheridan,0,0,0.4557175784506536
t0002435,71,F,1,0,1,9404,235,50,3,Sheridan,1,232,0.06598731731564887
t0012559,57,F,1,0,1,9164,229,50,5,Sheridan,0,0,0.09879898086651369
t0008296,65,M,1,0,1,10328,258,51,24,Sheridan,6,254.666666666667,0.4273208808431466
t0013302,57,F,1,0,1,8768,219,62,45,Sheridan,7,228,0.6745300994706758
t0011352,63,M,1,0,1,9404,235,50,16,Sheridan,8,123.75,0.2900647956842943
t0007144,64,M,1,0,1,9404,235,50,5,Sheridan,2,225,0.09879898086651369
t0008325,64,F,1,0,1,9020,226,50,9,Sheridan,8,242,0.16673661198843737
t0013255,62,M,1,0,1,16783,420,64,16,Sheridan,3.5,217.5,0.22862033974755733
t0024109,58,M,1,0,1,6264,157,12,0,Sheridan,0,0,0.06923337059747152
t0008070,78,F,1,0,1,9164,229,50,8,Sheridan,8.5,110.5,0.14953095591278018
t0014695,66,M,2,0,1,16803,420,37,5,Sheridan,19,402,0.13109586903305537
t0007617,70,M,1,0,1,11108,278,57,3,Sheridan,0,0,0.05827751003067427
t0024117,64,F,1,0,1,16190,405,37,4,Sheridan,11,413,0.10911007631817213
t0014586,81,F,1,0,1,8924,223,57,0,Sheridan,0,0,0.01740811511569111
t0015774,57,F,2,0,1,9020,226,52,22,Sheridan,4,187.833333333333,0.3839674165841357
t0008319,65,F,1,0,1,9704,243,41,6,Sheridan,10.5,233.5,0.13933609069427438
t0012241,69,M,1,0,1,9020,226,50,1,Sheridan,1,230,0.03453082542290144
t0023764,55,F,1,0,1,5408,135,31,5,Sheridan,2,543,0.1543961694280806
t0024248,61,M,1,0,1,8735,218,19,0,Sheridan,0,0,0.04732796593198868
t0007844,65,F,1,0,1,11072,277,51,1,Sheridan,9,2,0.033891956433454745
