tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0007398,68,M,1,0,1,13356,334,50,10
t0013232,66,F,1,0,1,9092,227,26,0
t0007941,64,M,1,0,1,9244,231,53,24
t0007455,75,F,1,0,1,17593,440,50,3
t0011322,57,F,1,0,1,9168,229,50,9
t0008119,90,M,1,0,1,21517,538,51,15
t0037816,59,F,1,0,1,9260,232,18,6
t0037815,66,M,1,0,1,5180,130,18,1
t0008233,70,F,1,0,1,9260,232,22,7
t0038027,58,M,1,0,1,9144,229,12,0
t0007527,86,M,1,0,1,9506,238,57,3
t0014254,60,F,1,0,1,200,50,59,26
t0008309,64,F,1,0,1,9236,231,54,10
t0014033,63,F,1,0,1,9260,232,69,23
t0016276,63,M,1,0,1,11912,298,46,12
t0007424,93,F,1,0,1,17132,428,54,2
t0008218,73,M,1,0,1,12164,304,57,24
t0011332,62,F,1,0,1,16441,411,61,10
t0012620,59,M,2,0,1,8156,204,50,3
t0014219,56,M,1,0,1,9020,226,52,7
t0034366,74,M,1,0,1,9464,237,26,2
t0010842,65,M,1,0,1,9260,232,50,22
t0013222,57,M,2,0,1,17508,438,50,9
t0011180,66,F,1,0,1,9164,229,50,2
t0007399,66,F,1,0,1,9020,226,50,9
t0012487,57,M,1,0,1,9164,229,50,6
t0024177,57,M,2,0,1,15188,380,38,1
t0023843,59,F,1,0,1,8996,225,20,8
t0017738,56,F,1,0,1,9164,229,20,7
t0007712,68,M,1,0,1,9260,232,58,12
t0007198,71,F,1,0,1,5176,129,50,6
t0008229,82,F,1,0,1,9236,231,50,0
t0016196,62,M,1,0,1,8768,219,52,19
t0014196,60,M,1,0,1,9020,226,50,5
t0007794,67,M,1,0,1,8804,220,60,41
t0015920,66,F,1,0,1,9556,239,53,13
t0007553,71,M,1,0,1,9092,227,50,4
t0015775,57,M,1,0,1,0,50,53,11
t0014840,67,M,1,0,1,9164,229,50,0
t0015825,58,F,1,0,1,11876,297,54,27
t0002435,71,F,1,0,1,9404,235,50,3
t0012559,57,F,1,0,1,9164,229,50,5
t0008296,65,M,1,0,1,10328,258,51,24
t0013302,57,F,1,0,1,8768,219,62,45
t0011352,63,M,1,0,1,9404,235,50,16
t0007144,64,M,1,0,1,9404,235,50,5
t0008325,64,F,1,0,1,9020,226,50,9
t0013255,62,M,1,0,1,16783,420,64,16
t0024109,58,M,1,0,1,6264,157,12,0
t0008070,78,F,1,0,1,9164,229,50,8
t0014695,66,M,2,0,1,16803,420,37,5
t0007617,70,M,1,0,1,11108,278,57,3
t0016594,70,M,1,0,0,15044,376,42,1
t0024117,64,F,1,0,1,16190,405,37,4
t0014586,81,F,1,0,1,8924,223,57,0
t0015774,57,F,2,0,1,9020,226,52,22
t0008319,65,F,1,0,1,9704,243,41,6
t0012241,69,M,1,0,1,9020,226,50,1
t0023764,55,F,1,0,1,5408,135,31,5
